1980,338.36,338.36,6.3572,6.3572
1990,353.86,353.86,7.4635,7.4635
2000,368.87,368.87,7.8838,7.8838
2005,378.81,378.81,9.1665,9.1665
2010,389.13,389.32,9.518,9.9694
2020,411.13,415.78,10.212,12.444
2030,435.05,448.83,11.17,14.554
2040,460.84,489.44,11.537,17.432
2050,486.54,540.54,11.28,20.781
2060,508.87,603.52,9.5852,24.097
2070,524.3,677.08,7.2219,26.374
2080,531.14,758.18,4.19,27.715
2090,533.74,844.8,4.2196,28.531
2100,538.36,935.87,4.2493,28.817
